taxonid,scientific_name,subspecies,rank,subpopulation,category
188988037,Agrotis helela,NA,NA,NA,EN
188988179,Agrotis hephaestaea,NA,NA,NA,DD
706,Agrotis kerri,NA,NA,NA,CR
188988355,Agrotis kuamauna,NA,NA,NA,EN
707,Agrotis laysanensis,NA,NA,NA,CR
188988392,Agrotis melanoneura,NA,NA,NA,DD
188988462,Agrotis mesotoxa,NA,NA,NA,DD
188988510,Agrotis microreas,NA,NA,NA,CR
188988592,Agrotis panoplias,NA,NA,NA,CR
188988644,Agrotis perigramma,NA,NA,NA,VU
708,Agrotis photophila,NA,NA,NA,CR
709,Agrotis procellaris,NA,NA,NA,CR
188989124,Agrotis psammophaea,NA,NA,NA,VU
188989484,Agrotis tephrias,NA,NA,NA,DD
188989620,Agrotis xiphias,NA,NA,NA,NT
199311,Ahlia egmontis,NA,NA,NA,LC
13485141,Ahliesaurus berryi,NA,NA,NA,LC
123323849,Ahliesaurus brevis,NA,NA,NA,LC
22721288,Aimophila ruficeps,NA,NA,NA,LC
22680104,Aix sponsa,NA,NA,NA,LC
103823212,Akialoa ellisiana,NA,NA,NA,EX
103823431,Akialoa lanaiensis,NA,NA,NA,EX
22728910,Akialoa obscura,NA,NA,NA,EX
103823250,Akialoa stejnegeri,NA,NA,NA,EX
773,Alasmidonta arcula,NA,NA,NA,EN
774,Alasmidonta atropurpurea,NA,NA,NA,EN
775,Alasmidonta heterodon,NA,NA,NA,VU
779,Alasmidonta marginata,NA,NA,NA,LC
780,Alasmidonta mccordi,NA,NA,NA,EX
776,Alasmidonta raveneliana,NA,NA,NA,CR
777,Alasmidonta robusta,NA,NA,NA,EX
189371,Alasmidonta triangulata,NA,NA,NA,EN
189106,Alasmidonta undulata,NA,NA,NA,LC
781,Alasmidonta varicosa,NA,NA,NA,VU
188990,Alasmidonta viridis,NA,NA,NA,LC
778,Alasmidonta wrightiana,NA,NA,NA,EX
102998555,Alauda arvensis,NA,NA,NA,LC
195921742,Albatrellopsis flettii,NA,NA,NA,LC
